"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Csmd1",7.16037882526579e-34,0.471599971641337,0.991,0.984,3.27716218074765e-29,"Csmd1"
"Myo16",1.34538162605725e-33,0.295862834240643,0.929,0.807,6.15754262613881e-29,"Myo16"
"Cdk2ap2",1.50179142254714e-33,0.267774277410721,0.843,0.706,6.87339898271376e-29,"Cdk2ap2"
"Mast2",2.38322660611726e-33,0.283519239721396,0.972,0.941,1.09075515308775e-28,"Mast2"
"Ubash3b",5.75650650044315e-33,0.272267028195251,0.971,0.913,2.63463789512282e-28,"Ubash3b"
"Ipw",6.76840401941987e-33,0.284154763477638,0.958,0.917,3.09776315160809e-28,"Ipw"
"Ica1",1.56776070484342e-32,0.250470229965027,0.996,0.983,7.17532719392735e-28,"Ica1"
"Slc38a2",2.14944204582214e-32,0.302935240199034,0.96,0.886,9.83756635531877e-28,"Slc38a2"
"Stxbp6",3.53346306510394e-32,0.263884375754866,0.793,0.581,1.61719537563677e-27,"Stxbp6"
"Ccdc30",9.67958070473693e-32,0.257266001984123,0.883,0.747,4.430150496944e-27,"Ccdc30"
"Flnb",5.00344053631144e-31,0.284144177153335,0.929,0.863,2.28997466465902e-26,"Flnb"
"Sh3rf3",2.52793806359656e-30,0.352336770114694,0.975,0.952,1.15698669294687e-25,"Sh3rf3"
"Luzp2",3.87655948255369e-30,0.574109431210175,0.894,0.843,1.77422374397517e-25,"Luzp2"
"Pcca",3.90699005987438e-30,0.269874335021927,0.926,0.876,1.7881512106033e-25,"Pcca"
"Agbl4",5.55769703675644e-30,0.310120752624365,0.971,0.934,2.54364677978269e-25,"Agbl4"
"Park2",7.35654553150714e-30,0.359642751911522,0.971,0.957,3.36694375886019e-25,"Park2"
"Ppfia2",8.0707184105649e-30,0.388312102341696,0.976,0.967,3.69380640214734e-25,"Ppfia2"
"Pdzrn3",1.37887993683262e-29,0.305233687137089,0.687,0.568,6.31085769489556e-25,"Pdzrn3"
"Kcnh7",1.93422281258283e-29,0.504636643160994,0.967,0.93,8.85255096862908e-25,"Kcnh7"
"Galntl6",3.09072540778393e-29,0.524338895907192,0.99,0.971,1.41456320463455e-24,"Galntl6"
"Kcnj3",5.16027919959406e-29,0.30440363955324,0.933,0.866,2.36175658407021e-24,"Kcnj3"
"Dlg1",6.20618536641982e-29,0.254163310760877,0.937,0.875,2.84044691850302e-24,"Dlg1"
"Rgs4",7.53358086681909e-29,0.283322294102046,0.727,0.565,3.44796929112576e-24,"Rgs4"
"Osbpl6",7.60290829908233e-29,0.250810191941051,0.969,0.925,3.479699070324e-24,"Osbpl6"
"Slc4a4",8.89277678486758e-29,0.326279230244883,0.775,0.675,4.07004607889819e-24,"Slc4a4"
"Spats2l",1.58348228778212e-28,0.285932010147423,0.822,0.684,7.24728173472119e-24,"Spats2l"
"Plxna4",4.59816881270003e-28,0.397295621323091,0.953,0.905,2.10448990219655e-23,"Plxna4"
"Tbc1d5",5.4892160356427e-28,0.259842879691851,0.944,0.879,2.51230439519295e-23,"Tbc1d5"
"Gabra4",2.35018147016768e-27,0.251256562437934,0.804,0.672,1.07563105526634e-22,"Gabra4"
"Hivep2",6.46971001172497e-27,0.254702043655762,0.988,0.978,2.96105687816628e-22,"Hivep2"
"Ppip5k2",7.28881426775517e-27,0.312404366649042,0.848,0.76,3.33594451406619e-22,"Ppip5k2"
"Mbp",1.03628513987021e-26,0.286784753414703,0.95,0.832,4.74286982815798e-22,"Mbp"
"Gabrg3",1.2340313849867e-26,0.405442053733043,0.947,0.902,5.64791484280712e-22,"Gabrg3"
"C230004F18Rik",1.81524990149342e-26,0.273516857506499,0.952,0.88,8.30803574915509e-22,"C230004F18Rik"
"Ccser1",1.18636551540554e-25,0.283297236492224,0.978,0.967,5.42975769090806e-21,"Ccser1"
"Sst",1.70624730834801e-25,0.466203751759532,0.614,0.403,7.80915268084718e-21,"Sst"
"Ldhb",6.62802366058717e-24,0.268450018261779,0.994,0.975,3.03351386897754e-19,"Ldhb"
"Grik1",1.26738507598693e-23,0.453519037174919,0.941,0.868,5.80056801577699e-19,"Grik1"
"Ralyl",4.93006720295322e-22,0.613995844430704,0.933,0.91,2.25639315744763e-17,"Ralyl"
"Mobp",9.9761279340377e-22,0.322461042261451,0.706,0.553,4.56587423285037e-17,"Mobp"
"Rbms3",1.27601456909148e-21,0.261716845693965,0.986,0.975,5.84006347981789e-17,"Rbms3"
"Mdh1",4.27165715877267e-21,0.262776006108647,0.999,0.992,1.95505204842707e-16,"Mdh1"
"Il1rapl2",3.70759044368475e-20,1.38706102781189,0.727,0.657,1.69688999426564e-15,"Il1rapl2"
"Cdh13",1.27149504382869e-19,0.451920472707361,0.911,0.863,5.81937851659514e-15,"Cdh13"
"Plcl1",1.84145646645917e-18,0.267570634792933,0.696,0.593,8.42797795569032e-14,"Plcl1"
"Tenm1",3.86864763865056e-18,0.278953142112263,0.928,0.896,1.77060265125759e-13,"Tenm1"
"Gpr176",5.37609752272776e-17,0.282317875936859,0.747,0.665,2.46053231420204e-12,"Gpr176"
"Erbb4",1.23410845665204e-16,0.441955325403889,0.973,0.947,5.64826758440505e-12,"Erbb4"
"Bai3",1.4418622788121e-16,0.349852849441433,0.999,1,6.59911527766722e-12,"Bai3"
